seed,mv_accuracy,ptbcc_accuracy,prototype_mae_after_matching,iterations,max_delta
73000,0.9875,0.995,0.04795694029274932,17,0.0006024135827196186
73001,0.93375,0.98375,0.039389513079830865,31,0.0008979497671118275
73002,0.93,0.97625,0.03980447103649619,27,0.0006381596101562304
73003,0.90625,0.96,0.040685768946595716,25,0.0009137915812269526
73004,0.9375,0.98625,0.0405320630903043,22,0.000763562501685966
73005,0.94,0.9875,0.03987091566540482,20,0.0007518570078605125
73006,0.9475,0.98625,0.04137445323327428,22,0.0007259998678044166
73007,0.93,0.9725,0.042835049589364085,30,0.0008379754761697611
73008,0.925,0.98,0.04482311023815079,22,0.0009895747681015754
73009,0.90625,0.97,0.04126312741375962,30,0.0009032497143415252
73010,0.93875,0.98125,0.0424601310518099,22,0.0005796659315615571
73011,0.95625,0.98625,0.04118325859064803,39,0.0003069323429807369
73012,0.925,0.98125,0.040148350443427974,45,0.0009648909214443613
73013,0.97125,0.99625,0.04281827744176118,18,0.000503568777083685
73014,0.955,0.98625,0.04147407235824151,21,0.0009034779202240495
73015,0.90125,0.9725,0.042054817510091484,21,0.000695865763489123
73016,0.94875,0.9825,0.04270907765846996,27,0.000731291318032623
73017,0.9425,0.97875,0.04000772883209888,22,0.0005943925948760365
73018,0.9175,0.97625,0.04164892585564084,30,0.0007103476718937074
73019,0.945,0.985,0.0413754447136344,18,0.0005695528173138564
73020,0.94375,0.98375,0.04085141902970531,49,0.0009711528678910675
73021,0.965,0.985,0.04448952019425443,34,0.0007942966619256531
73022,0.9125,0.96875,0.04565635794604255,23,0.0008441107616615762
73023,0.89375,0.96625,0.04207205223970843,22,0.0007881479628673027
73024,0.94875,0.98625,0.03930372240483371,25,0.0008017898630540143
73025,0.96125,0.985,0.042499619043142214,22,0.0008526701657264324
73026,0.92375,0.9775,0.04022884888097006,38,0.0008934765731902772
73027,0.91375,0.9725,0.03894536008097643,19,0.0006223458881164934
73028,0.95125,0.98375,0.03879379743770532,17,0.0008094131028898444
73029,0.93625,0.98125,0.04211101157337388,46,0.0009206266733322588
73030,0.9325,0.98,0.04132869156081509,50,0.0009667122708081344
73031,0.9375,0.98,0.04330470474766576,27,0.0007745847064083433
73032,0.97125,0.9925,0.043000210878132286,44,0.000884138081180319
73033,0.92,0.975,0.04163845103983516,37,0.0008567248687063045
73034,0.95625,0.99,0.04279856217720472,16,0.00044160291505201954
73035,0.93625,0.975,0.042111786970594325,24,0.0004775530522950211
73036,0.95125,0.9825,0.03970293759560166,34,0.0008997570291301438
73037,0.9225,0.98,0.03999637930877,29,0.0004324102468131752
73038,0.97375,0.99125,0.04425537337506848,14,0.000780545488561768
73039,0.9625,0.9925,0.042588257365464066,22,0.0009429060221585184
